features,prediction
"[70.0,8.0,1998.0]",2
"[93.0,8.2,2015.0]",3
"[80.0,8.9,2004.0]",3
"[68.0,7.1250461133070315,1990.0]",2
"[88.0,6.7,2002.0]",3
"[91.0,8.4,2011.0]",3
"[68.0,8.2,2000.0]",2
"[76.0,6.8,2015.0]",0
"[76.0,7.9,2008.0]",3
"[75.0,5.5,2014.0]",0
"[68.0,7.1250461133070315,1998.0]",2
"[68.0,7.1250461133070315,2000.0]",2
"[90.0,8.5,2012.0]",3
"[68.0,7.1250461133070315,1998.0]",2
"[68.0,7.1250461133070315,2006.0]",0
"[77.0,8.5,2002.0]",3
"[68.0,7.1250461133070315,2002.0]",2
"[68.0,7.1250461133070315,2015.0]",0
"[60.0,7.2,2005.0]",0
"[87.0,7.8,2009.0]",3
"[80.0,8.5,2001.0]",3
"[86.0,7.9,2013.0]",3
"[85.0,8.7,2003.0]",3
"[68.0,7.1250461133070315,2014.0]",0
"[82.0,7.5,2015.0]",3
"[77.0,8.0,2003.0]",3
"[86.0,9.2,2008.0]",3
"[68.0,7.1250461133070315,2009.0]",0
"[84.0,4.4,2015.0]",3
"[63.0,4.6,2008.0]",0
"[68.0,7.1250461133070315,1995.0]",2
"[83.0,5.9,2015.0]",3
"[81.0,7.7,2013.0]",3
"[85.0,7.2,2014.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[88.0,8.7,2015.0]",3
"[68.0,7.1250461133070315,2000.0]",2
"[68.0,7.1250461133070315,1983.0]",2
"[68.0,7.1250461133070315,1995.0]",2
"[68.0,7.1250461133070315,1995.0]",2
"[91.0,8.6,2008.0]",3
"[62.0,8.1,2003.0]",2
"[83.0,8.0,2007.0]",3
"[82.0,7.6,2010.0]",3
"[89.0,7.7,2011.0]",3
"[89.0,9.1,2001.0]",3
"[87.0,8.9,2001.0]",3
"[83.0,6.5,2007.0]",3
"[68.0,8.0,2008.0]",0
"[87.0,9.0,2000.0]",3
"[73.0,6.8,2012.0]",0
"[88.0,7.1250461133070315,1998.0]",3
"[68.0,7.1250461133070315,1999.0]",2
"[82.0,8.5,2005.0]",3
"[68.0,7.1250461133070315,1990.0]",2
"[83.0,9.0,2008.0]",3
"[82.0,7.8,2010.0]",3
"[81.0,7.8,2006.0]",3
"[93.0,8.0,2007.0]",3
"[91.0,8.9,2013.0]",3
"[74.0,5.4,2012.0]",0
"[96.0,8.9,2010.0]",3
"[67.0,7.9,2002.0]",2
"[94.0,7.9,2001.0]",3
"[68.0,7.1250461133070315,1986.0]",2
"[68.0,7.1250461133070315,1994.0]",2
"[75.0,7.8,2002.0]",2
"[74.0,7.9,0.0]",1
"[66.0,6.9,2015.0]",0
"[70.0,3.9,2014.0]",0
"[89.0,8.2,2012.0]",3
"[72.0,8.0,2008.0]",0
"[75.0,7.4,2008.0]",0
"[93.0,5.8,2012.0]",3
"[87.0,7.7,2010.0]",3
"[68.0,7.1250461133070315,1995.0]",2
"[81.0,8.1,2008.0]",3
"[93.0,8.5,2002.0]",3
"[68.0,7.1250461133070315,1987.0]",2
"[68.0,7.1250461133070315,2002.0]",2
"[87.0,6.3,2013.0]",3
